objectid,tree_species,global_id,creation_date,edit_date,tree_condition,sun_exposure,is_it_within_18_meters_of_a_building,trunk_circumference_cm,co2_uptake_annual,carbon_sequestered_annual_kg,co2_equivalent_annual_kg,storm_water_mitigation_annual,runoff_avoided_annual_l,rainfall_intercepted_annual_l,air_pollution_removal_annual,carbon_monoxide_removed_annual_g,ozone_removed_annual_g,nitrogen_dioxide_removed_annual_g,sulfur_dioxide_removed_annual_g,pm2_5_removed_annual_g,carbon_dioxide_uptake_to_date,carbon_storage_to_date_kg,co2_equivalent_to_date_kg,how_old_is_the_building,how_far_is_it_from_the_building,direction_from_tree_to_building,energy_usage_per_year,electricity_savings_per_year_k_wh,heating_fuel_savings_per_year_mm_btu,avoided_energy_emissions_per_year,avoided_co2_emissions_per_year_kg,avoided_co_emissions_per_year_g,avoided_no2_emissions_per_year_g,avoided_so2_emissions_per_year_g,avoided_pm2_5_emissions_per_year_g,y_coord_lat,x_coord_long,lab_group,x,y
43,Black Maple,114c1094-4ecd-4091-86c9-a21e3d1c5a7c,4/4/2024 2:18:50 PM,4/4/2024 2:18:50 PM,Good,Full,No,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not within 60 feet of a building,NA,Southeast (135 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample Data,-76.8823585700155,40.95491429706
44,Black Maple,6d709c3e-1f55-45d9-b5ad-895e057b97ed,4/4/2024 2:18:50 PM,4/4/2024 2:18:50 PM,Good,Full,Yes,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not within 60 feet of a building,12-18 meters,Southeast (135 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample Data,-76.8823424066286,40.954922231985
46,Black Maple,d6f5aa18-787a-4667-b6d1-a144c101d225,4/4/2024 2:18:55 PM,4/4/2024 2:18:55 PM,Good,Full,Yes,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Built between 1950 and 1980,12-18 meters,Southeast (135 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample Data,-76.8823162881117,40.9549048851903
93,Crabapple,3c7a867c-0f64-459b-80fd-201d6c0e4883,4/10/2025 12:27:35 PM,4/10/2025 12:27:35 PM,Dead,Partial,No,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not within 60 feet of a building,12-18 meters,South (180 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample Data,-76.8819173166496,40.9556540394985
94,Red Oak,90106312-588d-498f-ba08-d01acf7df85e,4/10/2025 12:29:33 PM,4/10/2025 1:01:27 PM,Good,Full,Yes,222.25,21.38,44.82,164.33,0.58,247,10174.17,0.14,2.52,509.66,10.95,14.39,20.53,NA,NA,NA,Built between 1950 and 1980,12-18 meters,Southeast (135 deg),17.84,27.13,1.19,15.08,115.91,29.02,22.49,588,3.87,NA,NA,8am lab - group 04,-76.8824187921738,40.9553444234334
95,Katsura,567e0ef4-d323-449d-82d3-d42d22493d70,4/10/2025 12:32:17 PM,4/10/2025 1:08:51 PM,Good,Partial,Yes,204.47,5.88,12.32,45.18,0.51,214.65,8841.61,0.17,2.19,519.65,11.85,14.39,27.19,NA,NA,NA,Built between 1950 and 1980,0-6 meters,Southeast (135 deg),17.21,58.63,0.77,12.68,97.5,30.6,18.91,494.61,7.37,NA,NA,8am lab - group 04,-76.8825138419355,40.9554054912679
96,Black Maple,09722abf-3071-4662-9197-34d290d20f29,4/10/2025 12:33:22 PM,4/10/2025 1:15:49 PM,Good,Full,No,259,24.83,52.05,190.83,0.27,115.41,4753.61,0.19,1.23,395.29,10.1,10.54,33.99,NA,NA,NA,Built before 1950,19 meters or more,Southeast (135 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8am lab - group 02,-76.8817592733468,40.9558872497385
98,Katsura,6ca81092-4ce0-4476-9c30-b32a53026825,4/10/2025 12:35:10 PM,4/10/2025 1:11:38 PM,Good,Partial,Yes,284.02,1.15,2.42,8.86,0.68,286.3,11795.62,0.19,2.92,619.115,13.54,17.38,26.93,NA,NA,NA,Built between 1950 and 1980,0-6 meters,East (90 deg),9.83,103.72,-0.38,3.21,24.64,23.09,4.78,125,12.07,NA,NA,8am lab - group 04,-76.8823507708422,40.9554635088469
99,Sugar Maple,c5e85db2-8fd1-4e67-9956-f1f32dc4908f,4/10/2025 12:36:20 PM,4/10/2025 1:18:35 PM,Good,Partial,Yes,178,8.27,17.35,63.6,0.2,84.56,3483.06,0.11,0.86,252.78,6.24,6.82,18.68,NA,NA,NA,Built after 1980,12-18 meters,Northwest (315 deg),15.81,43.3,0.83,12.25,94.2,27.26,18.27,477.89,5.59,NA,NA,8am lab - group 02,-76.8820767730025,40.9559936002381
100,Sugar Maple,4647828f-e564-4cc5-bab2-d8f1e53545ec,4/10/2025 12:36:27 PM,4/10/2025 1:22:48 PM,Good,Full,Yes,213.36,14.87,31.17,114.3,0.23,96.7,3983.2,0.13,0.99,293.45,7.28,7.9,22.23,808.18,1694.31,6212.46,Built after 1980,6-12 meters,Southeast (135 deg),25.74,70.31,1.36,19.97,153.51,44.37,29.78,778.73,9.08,NA,NA,8am lab - group 01,-76.882195567114,40.9550796663702
