subregion,long,lat,county_label
adams,-77.21178817749023,39.89791488647461,Adams
allegheny,-80.02501678466797,40.433631896972656,Allegheny
armstrong,-79.45206069946289,40.83470344543457,Armstrong
beaver,-80.33155059814453,40.66854476928711,Beaver
bedford,-78.46657180786133,40.026832580566406,Bedford
berks,-75.9827995300293,40.40785026550293,Berks
blair,-78.366302490234375,40.49379348754883,Blair
bradford,-76.53570175170898,41.777217864990234,Bradford
bucks,-75.10330581665039,40.33622932434082,Bucks
butler,-79.92475128173828,40.92064666748047,Butler
cambria,-78.70148086547852,40.485198974609375,Cambria
cameron,-78.20587539672852,41.413387298583984,Cameron
carbon,-75.73929214477539,40.932106018066406,Carbon
centre,-77.75896835327148,40.97507858276367,Centre
chester,-75.73356246948242,39.98958969116211,Chester
clarion,-79.4491958618164,41.20139503479004,Clarion
clearfield,-78.4293327331543,40.989402770996094,Clearfield
clinton,-77.63005447387695,41.21285438537598,Clinton
columbia,-76.42397689819336,41.038103103637695,Columbia
crawford,-80.07085418701172,41.656898498535156,Crawford
cumberland,-77.24044036865234,40.15001678466797,Cumberland
dauphin,-76.78780364990234,40.39065933227539,Dauphin
delaware,-75.42989349365234,39.93802452087402,Delaware
elk,-78.661376953125,41.41052436828613,Elk
erie,-80.07658004760742,42.049373626708984,Erie
fayette,-79.64686584472656,39.935157775878906,Fayette
forest,-79.2314682006836,41.46781921386719,Forest
franklin,-77.77042388916016,39.99818420410156,Franklin
fulton,-78.11993026733398,39.940887451171875,Fulton
greene,-80.20263290405273,39.87213134765625,Greene
huntingdon,-77.94804382324219,40.40212059020996,Huntingdon
indiana,-79.12547302246094,40.645626068115234,Indiana
jefferson,-78.97364044189453,41.13550567626953,Jefferson
juniata,-77.34643936157227,40.47660446166992,Juniata
lackawanna,-75.64761734008789,41.399065017700195,Lackawanna
lancaster,-76.29792404174805,40.02396774291992,Lancaster
lawrence,-80.30863189697266,40.98940086364746,Lawrence
lebanon,-76.421112060546875,40.37633514404297,Lebanon
lehigh,-75.61037826538086,40.60838317871094,Lehigh
luzerne,-75.9627456665039,41.16415214538574,Luzerne
lycoming,-77.03704452514648,41.32744598388672,Lycoming
mckean,-78.57829666137695,41.80013656616211,Mckean
mercer,-80.2627944946289,41.278743743896484,Mercer
mifflin,-77.58135223388672,40.59692573547363,Mifflin
monroe,-75.31243515014648,41.03237342834473,Monroe
montgomery,-75.35254287719727,40.21590614318848,Montgomery
montour,-76.65316009521484,41.00945472717285,Montour
northampton,-75.33822250366211,40.75448989868164,Northampton
northumberland,-76.66461944580078,40.88913154602051,Northumberland
perry,-77.29486846923828,40.40211868286133,Perry
philadelphia,-75.11476516723633,39.99818420410156,Philadelphia
pike,-75.05461120605469,41.338905334472656,Pike
potter,-77.91366958618164,41.73997688293457,Potter
schuylkill,-76.2320327758789,40.720109939575195,Schuylkill
snyder,-77.0771484375,40.75735282897949,Snyder
somerset,-79.03666687011719,40.01537322998047,Somerset
sullivan,-76.5328369140625,41.419118881225586,Sullivan
susquehanna,-75.80804443359375,41.8201904296875,Susquehanna
tioga,-77.2490348815918,41.76289367675781,Tioga
union,-77.09433364868164,40.97507667541504,Union
venango,-79.7385368347168,41.38760566711426,Venango
warren,-79.2658462524414,41.805864334106445,Warren
washington,-80.18257904052734,40.21590805053711,Washington
wayne,-75.2837905883789,41.61392402648926,Wayne
westmoreland,-79.43200302124023,40.359148025512695,Westmoreland
wyoming,-76.014312744140625,41.50792694091797,Wyoming
york,-76.68753433227539,39.97526550292969,York
