COUNTYCD,biomass,trees_per_acre,county_name,county_short,long,lat,group,order,region
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.44670104980469,39.96953582763672,1,1,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.42951965332031,39.986724853515625,1,2,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.3722152709961,40.00391387939453,1,3,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.320648193359375,40.01537322998047,1,4,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.234710693359375,40.026832580566406,1,5,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.188873291015625,40.032562255859375,1,6,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.17741394042969,40.04975128173828,1,7,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.1373062133789,40.06693649291992,1,8,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.09146881103516,40.04975128173828,1,9,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.06855773925781,40.026832580566406,1,10,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.02845001220703,40.01537322998047,1,11,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.0112533569336,39.9981803894043,1,12,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-76.98261260986328,39.96380615234375,1,13,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-76.97688293457031,39.91796875,1,14,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-76.97688293457031,39.88932418823242,1,15,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-76.97688293457031,39.872135162353516,1,16,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-76.96541595458984,39.872135162353516,1,17,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-76.96541595458984,39.86067199707031,1,18,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-76.96541595458984,39.84921646118164,1,19,pennsylvania
1,27.505307719298248,171.94083614035088,Adams County,adams,-77.0112533569336,39.84348678588867,1,20,pennsylvania
